"Long","Lat","SiteNum","Name","State","First","Last","PercComp","Elev","Dist","Years","loc","scale","shape","distToGdr","inlandGdr"
151.8,-27.35,"041074","NETHERBY","QLD",1929,1981,0.99,463,125.52,52.47,54.1403882207171,13.4166631020666,0.253483419950691,18.9062530477005,TRUE
151.9,-27.85,"041075","NOBBY TOOTH ST","QLD",1940,2014,0.88,483,130.54,66,56.553249196672,14.0771121934318,0.156874608417713,14.163686734077,TRUE
151.72,-27.45,"041077","OAKEY POST OFFICE","QLD",1899,1985,0.99,402,134.95,86.13,52.8211172749598,17.6079540500606,0.191154759701613,21.7315535401186,TRUE
151.7,-27.15,"041080","PERANGA POST OFFICE","QLD",1950,2004,0.89,450,134.9,48.95,58.4644593201453,14.850139714688,0.172620671204077,8.65261830544756,TRUE
151.63,-27.72,"041082","PITTSWORTH","QLD",1886,2016,0.97,608,149.92,127.07,53.0330074506968,16.290989617659,0.0898095941879731,32.6296667224014,TRUE
151.78,-28.07,"041083","PRATTEN","QLD",1898,2016,0.97,609,152.96,115.43,52.5837518729506,16.3024931400772,0.094718954857786,39.1638755031709,TRUE
152.39,-28.33,"041085","QUEEN MARY FALLS","QLD",1959,2016,0.99,895,108.95,57.42,71.845063008803,29.8715255653566,0.309193396179446,0.981497612507809,TRUE
151.4,-26.67,"041086","QUENDON","QLD",1949,2015,0.99,562,166.65,66.33,53.8209516788929,14.9657424741044,0.232856233644367,7.33088180524835,TRUE
151.3,-27.4,"041089","STRUTH","QLD",1890,1964,0.72,366,175.26,54,53.2182169907072,12.509140114384,0.170987157337381,56.7353453381436,TRUE
152.25,-28.29,"041098","TANNYMOREL","QLD",1916,2016,0.94,525,121.25,94.94,52.3302959466155,17.1373003416141,0.0846978767466419,14.7051175303857,TRUE
150.46,-27.28,"041099","TARA TOWNSHIP","QLD",1911,2014,0.97,311,257.46,100.88,48.1429288970432,17.2935959339834,0.141115496880702,117.27209284409,TRUE
151.93,-27.58,"041103","TOOWOOMBA","QLD",1869,2007,0.91,691,117.24,126.49,64.1814160312287,20.6837650970424,0.0791345210307527,1.51699608398035,TRUE
150.25,-28.47,"041105","UMBERCOLLIE","QLD",1909,1958,0.98,212,306.45,49,48.1588966946216,19.2592880941679,0.0920883297693864,188.347052996697,TRUE
152.08,-27.97,"041106","UPPER FOREST SPRINGS","QLD",1927,2016,0.84,566,122.34,75.6,56.9801222933147,17.2272311940228,0.00549397091125028,12.0143859403553,TRUE
152.12,-27.92,"041107","UPPER PILTON","QLD",1933,2001,0.99,549,115.9,68.31,54.1025329582949,17.252625616125,-0.0667657769827305,5.71371052845031,TRUE
150.52,-27.38,"041108","BEAU MAISON","QLD",1911,2013,0.9,330,251.93,92.7,49.9265421122402,18.2178676684633,0.142287388477721,117.621868462588,TRUE
151.81,-28.02,"041109","VICTORIA HILL","QLD",1912,2015,0.79,425,147.5,82.16,49.2677662329973,14.1004029890056,0.269231627562533,33.260160956612,TRUE
151.2,-27.83,"041110","TURALLIN","QLD",1909,2015,0.88,403,194,94.16,55.0955468877721,17.9120569644522,0.0458636520235532,76.6235724861931,TRUE
152.03,-28.22,"041111","WARWICK POST OFFICE","QLD",1865,1985,0.82,453,140.06,99.22,53.7720208275797,16.6170886744875,0.0658602896736585,36.3423934656367,TRUE
151.62,-27.21,"041115","MARAVALE","QLD",1947,2010,0.92,407,142.64,58.88,52.5122979338932,17.0978086612812,0.0612844373182556,19.0124818180345,TRUE
150.93,-26.93,"041117","WARRA POST OFFICE","QLD",1888,1991,0.97,317,213.43,100.88,56.8002787215415,18.3616047769945,0.078080654452658,58.8367182721409,TRUE
151.58,-28.19,"041118","WARRABAH","QLD",1919,2013,0.98,460,176.7,93.1,52.7304062901929,16.5991446548778,0.0758080365838032,62.7247822060249,TRUE
152.21,-28.2,"041120","YANGAN POST OFFICE","QLD",1912,2016,1,536,122.34,105,52.8909164546321,16.6961157102026,0.104823269869125,18.6437094754165,TRUE
151.83,-27.62,"041126","WESTBROOK","QLD",1890,2012,0.89,539,127.9,109.47,53.2587026510643,17.1652619229401,0.113273610115733,10.5953716968935,TRUE
151.09,-27.83,"041127","WESTERN CREEK","QLD",1889,2000,0.92,380,204.41,103.04,54.8057804061966,19.9651204991644,-0.0407832067751492,86.9645323335716,TRUE
150.48,-28.49,"041129","WOOMERA","QLD",1915,2008,0.78,222,287.03,73.32,49.6222960390385,17.1046463789821,0.121006313345061,169.353417826911,TRUE
151.38,-26.77,"041131","COORANGA NORTH","QLD",1940,2016,0.69,515,170.29,53.13,53.1314767613387,15.129013627184,0.127660573018755,10.8303486225156,TRUE
152.4,-28.31,"041134","TOP PLAINS","QLD",1952,2015,0.99,959,107.58,63.36,73.7334662428417,30.0741994528857,0.401942905593333,2.28299294677757,FALSE
150.74,-27.3,"041135","BROADACRES","QLD",1951,2004,0.96,370,229.81,51.84,54.2654208237445,23.3101642298851,0.0273025753418882,94.6078954119818,TRUE
150.65,-28.17,"041139","WYAGA STATION","QLD",1899,2012,0.51,251,257.43,58.14,47.3289066929265,14.5873751590066,0.0917535669159186,139.271494644003,TRUE
151.26,-27.19,"041140","DALBY REGIONAL COUNCIL","QLD",1959,2008,0.96,343,178.31,48,51.5733750841112,16.8421241786628,0.194343712461489,47.4657349266544,TRUE
151.17,-26.84,"041145","MARNHULL","QLD",1900,2016,0.68,348,191.86,79.56,53.2094746925758,16.3422132177144,-0.0674944778717703,32.9889396133407,TRUE
152.1,-28.15,"041154","BLINKBONNIE","QLD",1887,1934,0.94,498,131.78,45.12,47.2371598911526,12.5863834001334,0.0989031704153397,28.4337285399028,TRUE
151.37,-27.85,"041158","YANDILLA","QLD",1876,1933,0.9,372,178.74,52.2,52.5694851582558,12.0558464641414,-0.390095500275636,61.2657052022769,TRUE
152.42,-28.3,"041165","BONNIE BRAE","QLD",1913,1991,0.79,990,105.46,62.41,76.4105018106042,32.2804695792908,0.344722820400385,2.36378981068236,FALSE
151.6,-27.68,"041166","SPRINGSIDE","QLD",1959,2016,0.98,503,151.54,56.84,51.7167806687102,17.1802505493365,-0.0108120150763521,34.1138388058024,TRUE
152.28,-28.17,"041167","HELENVALE","QLD",1919,2016,0.63,549,114.91,61.74,52.3190973972063,15.4899339140368,0.384931392691705,11.8189276534417,TRUE
151.3,-26.71,"041168","ROSEVALE","QLD",1913,2015,0.56,465,177.09,57.68,48.767047050854,12.2421674995634,0.18377357904529,17.3088388380866,TRUE
151.09,-26.9,"041179","WYOBIE","QLD",1958,2013,0.85,335,198.32,47.6,52.0123420895409,15.7362660948113,-0.214172685376502,43.0481599711909,TRUE
151.57,-27.18,"041182","WHITTAKER","QLD",1958,2016,0.97,410,147.64,57.23,49.9402213267418,17.1786638397983,0.101514426576192,20.5022210993905,TRUE
151.54,-28.24,"041189","WARAHGAI","QLD",1959,2010,0.92,488,183.03,47.84,53.5470461954769,17.2275902811205,0.0600177189233021,69.3260233011596,TRUE
151.37,-27.26,"041191","VICTORY DOWNS","QLD",1958,2011,0.96,358,167.39,51.84,51.1260648087181,16.5242507354912,-0.0117590260567185,41.7675045667021,TRUE
151.8,-28.37,"041192","VALHALLA","QLD",1959,2015,0.98,705,166.02,55.86,48.7379952162237,12.7365896765454,0.367640652658747,54.8657001621283,TRUE
150.87,-27.32,"041197","KUMBARILLA LANE","QLD",1959,2009,0.99,370,217.03,50.49,50.9349103451991,18.567244741673,0.0401108026835829,85.9291751303142,TRUE
151.3,-27.15,"041198","TINGHA","QLD",1958,2015,0.93,364,174.48,53.94,50.9601665724473,16.2847073585428,-0.0219216755851022,41.5197725698108,TRUE
151.31,-27.03,"041200","TALMOI","QLD",1958,2003,0.98,381,174.57,45.08,48.7650330461467,15.1144808974081,0.284647474576343,31.908307050759,TRUE
151.71,-27.02,"041202","TALGAI","QLD",1958,2013,0.97,544,135.43,54.32,52.1409630298105,21.8787781040378,-0.00618388818176634,1.25326590322946,TRUE
151.47,-28.12,"041205","STRATHYRE","QLD",1959,2005,0.98,469,181.96,46.06,50.6277475375122,16.568041402636,0.0348889611010495,65.7323231363587,TRUE
152.34,-28.35,"041208","SPRING CREEK","QLD",1959,2016,0.99,610,114.2,57.42,62.2890520254633,22.7639076282589,0.243958508235225,6.21431754219541,TRUE
151.89,-28.48,"041209","SORRENTO","QLD",1959,2015,0.95,839,160.35,54.15,48.8732243737954,12.6542775580508,0.170968755048985,46.3602475411608,TRUE
151.68,-27.21,"041212","ROSALIE PLAINS","QLD",1954,2016,0.92,475,136.7,57.96,52.1609604641233,17.1978854296206,0.0394645725261293,14.5466192444706,TRUE
150.69,-26.81,"041215","RIVERVIEW HOPELAND","QLD",1958,2015,0.93,313,238.68,53.94,52.133566950593,17.7229236668707,-0.0714723616743234,78.5292197535694,TRUE
152.05,-28.03,"041216","RIVERSIDE","QLD",1959,2005,1,495,128.7,47,53.1896057153555,22.4388581023701,-0.152016202046038,19.2181240491816,TRUE
151.55,-27.99,"041219","REDBANK","QLD",1959,2016,1,414,168.31,58,50.5895050933268,14.4499840830604,0.114030608968338,50.7289230988365,TRUE
151.94,-28.29,"041223","THE GLEN","QLD",1959,2006,0.94,509,150.44,45.12,50.4093148186539,15.1360004049605,0.172352572729685,43.2486290491993,TRUE
152.06,-27.84,"041225","MIRRABOOKA","QLD",1959,2014,0.93,506,116.12,52.08,52.21561144779,14.4707826163986,0.0230543672290502,1.60437064211907,TRUE
151.14,-27.19,"041240","HEREWARD","QLD",1959,2016,1,340,190.19,58,54.7497138324026,19.9948033070701,0.0894799150628222,56.3160521703918,TRUE
151.63,-27.02,"041242","LITTLE RIDGE","QLD",1958,2016,0.98,532,143.27,57.82,51.2826404522753,17.619191298807,0.143860543159898,7.03320815818109,TRUE
151.4,-27.14,"041244","MOUNT LEINSTER","QLD",1958,2014,0.98,391,164.64,55.86,50.1095304110507,18.9478465070914,0.0268336009994327,33.2409033344808,TRUE
151.14,-27.05,"041248","MAR-LEE","QLD",1959,2013,0.95,346,191.09,52.25,49.5147999533001,14.8473717344382,0.118254578830603,46.1994873301993,TRUE
151.39,-28.01,"041249","EKSUN DOWNS","QLD",1959,2015,0.94,427,183.49,53.58,52.1697523538359,17.0581575113539,0.0359181059793048,65.4245740959374,TRUE
151.41,-27.79,"041250","PAMPAS","QLD",1959,2016,1,390,172.93,58,52.6870932054163,15.3822509952861,0.122182561625004,55.6514417262823,TRUE
151.82,-28.43,"041251","PALGROVE","QLD",1959,2015,0.99,765,165.88,56.43,45.9103769059641,11.7322258161693,0.249280592997345,52.6860273835586,TRUE
151.99,-27.81,"041256","NAVILLOWEEN","QLD",1959,2013,0.99,469,120.62,54.45,51.4653333124162,16.7663396593377,-0.053826048067609,4.70287814046123,TRUE
151.1,-27.23,"041257","KUPUNN","QLD",1958,2010,0.98,341,194.09,51.94,55.0642340041437,19.1997164750936,0.143425105024473,62.2470307842527,TRUE
152.13,-28.07,"041259","CLINTONVALE","QLD",1959,2015,0.91,497,125.49,51.87,54.7512426421071,15.4214813855213,0.134782389117731,21.7798203948296,TRUE
150.77,-27.12,"041261","KIA ORA","QLD",1947,2016,0.95,360,227.09,66.5,56.0556450676301,22.9032908946569,-0.0583876720841069,81.8805377210807,TRUE
151.37,-27.07,"041266","LILLINGSTONE","QLD",1959,2015,0.9,398,168.18,51.3,52.7065219911635,16.1882332006292,0.0933823204847389,30.3787792060918,TRUE
151.58,-27.82,"041270","GUNBOWER","QLD",1907,2009,0.85,408,158.15,87.55,53.0711641576865,16.430212621116,0.0713191456924027,40.3568595942269,TRUE
151.65,-27.08,"041271","GRAHAMVILLE","QLD",1958,2014,0.96,483,140.45,54.72,47.7729005339183,16.3644381525521,0.0194683294350995,7.90725322339086,TRUE
151.93,-28.15,"041275","GLENROY MASSIE","QLD",1959,2016,1,457,146.23,58,50.768380658684,16.5256765521299,0.113938294180224,36.1586526675851,TRUE
152.16,-27.93,"041276","GLENRIVE","QLD",1959,2016,0.99,622,113.36,57.42,55.1760111697931,16.8944400691812,-0.000953655580566511,6.02380469240101,FALSE
151.21,-26.77,"041277","GLENROY","QLD",1958,2016,0.98,408,186.93,57.82,52.2092735973638,15.2341044600535,-0.135567924499597,26.7894948280162,TRUE
151.85,-28.33,"041285","FAIRLEIGH","QLD",1959,2016,0.99,603,160.1,57.42,50.8690193613086,14.5579429574414,0.225031793655616,50.6440608939691,TRUE
150.87,-26.87,"041291","EHLMA PARK","QLD",1958,2015,0.98,314,220.41,56.84,55.2383018331471,15.3291322376649,-0.102754035694445,62.2564460417109,TRUE
150.98,-27.1,"041297","DAANDINE","QLD",1905,2015,0.49,331,206.44,54.39,54.3304418364867,18.8977305542831,0.164440872929967,62.4847580609555,TRUE
151.45,-27.86,"041306","TOSARI","QLD",1959,2016,0.99,399,171.69,57.42,52.2313633333365,15.872815927775,0.0744639372253486,53.8481004664419,TRUE
151.2,-26.89,"041310","KUYURA","QLD",1958,2016,0.98,377,187.8,57.82,50.597338864182,14.913449591563,0.114717136419693,32.7578553936854,TRUE
